battingTeam_x,key_0,balls_x,runs_x,player_out_x,balls_y,runs_y,player_out_y,Winning Batting_Team
Afghanistan,319,103.3,32,3,102.6,58,1,0
South Africa,382,102.6,48,1,106.3,48,2,1
Bangladesh,95,107.7,57,1,105.3,45,2,1
New Zealand,255,103.3,43,3,108.3,50,0,0
Australia,419,102.6,41,0,105.3,64,3,0
Australia,381,107.3,57,1,114.7,50,0,1
West Indies,121,107.0,47,1,109.7,43,1,1
India,467,104.3,50,1,105.8,52,3,0
Pakistan,607,114.2,43,1,103.3,56,2,0
Zimbabwe,296,103.3,34,2,106.0,51,1,0
Bangladesh,373,102.6,30,3,102.6,25,2,1
South Africa,89,102.6,44,1,111.0,56,1,0
Afghanistan,180,105.3,55,2,107.0,62,2,0
Australia,753,107.0,53,1,108.8,37,2,1
West Indies,329,103.3,78,0,102.6,67,2,1
Sri Lanka,6,119.8,63,2,102.6,41,2,1
West Indies,144,117.0,38,2,102.6,34,2,1
New Zealand,744,102.6,39,1,102.6,30,2,1
South Africa,8,105.3,62,1,107.3,36,3,1
South Africa,326,104.1,35,2,108.7,51,1,0
Bangladesh,422,105.3,28,2,102.6,20,1,1
Sri Lanka,77,114.8,35,4,103.3,50,2,0
Pakistan,508,107.0,52,1,103.3,48,1,1
West Indies,45,112.5,24,0,108.3,48,1,0
India,60,104.1,30,4,102.6,44,0,0
Ireland,90,102.6,41,4,107.0,64,0,0
West Indies,311,104.3,39,2,106.0,13,4,1
South Africa,113,108.3,54,2,109.0,65,1,0
Ireland,626,102.6,48,1,102.6,66,1,0
Afghanistan,65,103.3,43,1,102.6,40,2,1
South Africa,557,102.6,47,4,52.9,29,2,1
South Africa,728,116.4,63,3,102.6,73,2,0
England,494,104.3,48,3,105.1,40,3,1
Sri Lanka,435,112.7,51,1,102.6,41,2,1
Australia,199,102.6,38,1,104.3,25,1,1
India,245,108.0,34,3,127.7,31,5,1
Australia,249,102.6,32,2,106.3,38,2,0
Zimbabwe,186,104.3,39,2,115.8,36,0,1
Afghanistan,604,107.0,66,0,107.3,47,1,1
South Africa,450,110.7,35,1,107.3,67,1,0
Sri Lanka,203,105.3,45,2,111.7,49,2,0
India,684,117.1,41,0,102.6,57,1,0
India,51,108.3,55,0,102.6,44,2,1
Netherlands,134,129.1,79,0,102.6,59,1,1
England,360,102.6,49,1,109.0,51,5,0
South Africa,667,102.6,38,3,102.6,44,0,0
Afghanistan,439,108.8,62,0,110.8,54,2,1
Sri Lanka,208,108.0,62,1,102.6,45,2,1
England,153,111.8,65,1,107.3,34,1,1
Bangladesh,105,109.8,38,2,102.6,25,3,1
Sri Lanka,23,112.5,39,2,110.8,61,0,0
India,598,108.7,51,2,108.3,39,1,1
Pakistan,538,105.8,42,1,102.6,35,3,1
New Zealand,643,105.3,63,0,109.1,73,4,0
Pakistan,479,102.6,33,3,102.6,46,1,0
New Zealand,477,112.1,50,1,102.6,50,1,1
India,622,107.3,53,0,102.6,47,2,1
South Africa,204,102.6,32,2,104.1,17,2,1
New Zealand,749,107.3,42,1,107.0,30,1,1
Sri Lanka,200,102.6,42,1,105.3,37,2,1
South Africa,190,107.0,53,1,108.3,73,0,0
England,177,106.3,39,1,104.3,39,2,1
Pakistan,410,102.6,47,2,113.0,54,2,0
Pakistan,631,102.6,18,2,112.7,31,2,0
South Africa,0,106.3,28,2,103.3,37,3,0
Australia,35,112.7,57,1,107.0,65,3,0
New Zealand,478,102.6,47,2,102.6,47,1,1
Sri Lanka,447,122.9,73,1,114.8,58,1,1
South Africa,475,114.1,69,0,106.1,53,2,1
South Africa,575,110.8,49,1,111.0,50,1,0
New Zealand,343,102.6,22,2,104.3,32,3,0
Afghanistan,283,102.6,43,0,112.1,34,5,1
Sri Lanka,279,102.6,60,2,107.3,43,2,1
Netherlands,250,102.6,33,2,110.8,49,0,0
Australia,196,110.8,22,3,104.1,47,1,0
Pakistan,750,109.0,34,1,102.6,59,0,0
Sri Lanka,531,102.6,41,2,105.3,39,1,1
England,430,104.3,64,0,102.6,35,3,1
Zimbabwe,550,104.3,65,0,108.8,49,0,1
Sri Lanka,330,103.3,38,3,112.1,47,0,0
Pakistan,202,109.5,35,2,112.8,63,0,0
India,492,110.1,53,0,102.6,42,2,1
Pakistan,67,107.3,45,1,102.6,26,6,1
India,141,117.7,57,1,106.3,30,4,1
Netherlands,183,111.7,51,1,106.3,43,1,1
South Africa,82,104.3,44,1,113.0,44,2,1
Pakistan,565,108.1,34,3,113.8,56,0,0
Sri Lanka,266,105.8,63,0,112.8,40,3,1
New Zealand,514,109.0,51,1,107.3,67,0,0
Zimbabwe,38,102.6,58,0,102.6,48,0,1
Zimbabwe,309,102.6,31,1,106.3,44,0,0
Australia,586,106.3,54,0,103.3,48,3,1
South Africa,101,106.3,68,1,102.6,68,1,1
Pakistan,232,102.6,28,0,121.2,28,3,1
New Zealand,295,108.3,66,0,102.6,53,2,1
England,451,106.3,48,1,113.8,61,2,0
Bangladesh,711,111.7,31,0,110.0,62,0,0
Ireland,426,102.6,38,2,103.3,38,2,1
New Zealand,587,109.0,55,0,105.0,66,1,0
Afghanistan,12,103.3,23,3,102.6,45,1,0
West Indies,99,102.6,43,2,123.9,31,4,1
New Zealand,690,109.8,67,0,124.1,91,0,0
Ireland,378,114.7,93,0,107.0,63,1,1
South Africa,375,102.6,64,0,104.3,62,1,1
Zimbabwe,515,102.6,68,2,116.8,56,0,1
India,257,109.8,46,1,108.0,31,2,1
South Africa,632,104.3,70,2,106.3,52,5,1
New Zealand,701,102.6,33,2,102.6,29,4,1
England,540,107.3,47,1,113.6,88,0,0
Pakistan,5,103.3,58,2,102.6,57,3,1
Afghanistan,677,102.6,63,1,107.3,91,1,0
India,119,102.6,31,1,102.6,41,2,0
New Zealand,650,107.3,34,3,112.7,36,4,0
England,187,103.3,40,1,107.8,36,2,1
Pakistan,589,102.6,54,1,102.6,30,1,1
Sri Lanka,372,106.0,52,0,105.0,40,2,1
England,721,102.6,42,4,103.3,28,3,1
Sri Lanka,259,108.3,39,1,103.3,40,2,0
India,431,102.6,36,3,102.6,46,2,0
Zimbabwe,289,102.6,59,1,104.3,54,1,1
Netherlands,100,113.0,37,1,103.3,42,1,0
South Africa,145,108.3,53,0,104.3,46,1,1
Sri Lanka,349,104.3,40,1,108.1,98,4,0
South Africa,248,104.3,57,2,111.0,45,1,1
Bangladesh,678,108.3,54,0,106.8,63,0,0
South Africa,576,103.3,47,1,102.6,47,0,1
Sri Lanka,36,102.6,44,0,112.0,29,3,1
New Zealand,506,102.6,53,1,107.0,40,2,1
England,206,105.8,42,3,109.0,52,2,0
South Africa,48,106.1,34,2,102.6,55,1,0
Pakistan,165,102.6,42,2,109.0,49,1,0
England,24,104.3,67,1,102.6,42,3,1
South Africa,182,116.8,58,2,108.3,63,1,0
West Indies,427,108.0,40,2,105.3,37,2,1
New Zealand,68,102.6,37,3,109.0,54,1,0
Pakistan,338,107.3,31,2,102.6,21,2,1
West Indies,71,108.3,24,2,110.0,70,3,0
Zimbabwe,32,102.6,63,1,116.5,50,1,1
Sri Lanka,468,104.3,51,2,102.6,46,2,1
India,225,114.1,70,0,103.3,37,3,1
Sri Lanka,636,110.0,53,2,112.0,50,2,1
England,681,105.3,50,1,102.6,35,2,1
Sri Lanka,139,102.6,39,2,102.6,31,3,1
Pakistan,321,103.3,31,0,102.6,44,3,0
Pakistan,446,124.8,72,0,108.7,46,3,1
West Indies,551,104.3,42,1,106.3,39,0,1
Bangladesh,176,117.8,28,3,105.0,33,3,0
India,123,113.0,45,1,102.6,48,1,0
South Africa,167,108.8,43,3,108.3,31,3,1
Zimbabwe,471,109.8,49,2,102.6,57,1,0
South Africa,703,107.0,36,2,107.6,42,2,0
India,533,116.5,40,2,110.0,75,2,0
Sri Lanka,333,102.6,54,1,102.6,72,1,0
South Africa,201,106.3,48,3,109.0,46,2,1
England,269,103.3,59,2,102.6,47,2,1
Afghanistan,672,107.3,29,3,111.7,47,2,0
Afghanistan,342,106.3,55,2,112.7,39,1,1
Australia,390,104.3,52,2,103.3,41,2,1
South Africa,254,103.3,33,1,109.0,31,2,1
Ireland,441,107.3,50,2,102.6,51,0,0
India,25,110.0,46,1,106.3,67,0,0
Sri Lanka,27,108.7,58,0,109.7,49,0,1
Afghanistan,718,108.3,64,0,105.8,69,0,0
New Zealand,649,106.3,70,0,105.3,76,4,0
Ireland,528,102.6,42,1,102.6,42,0,1
Ireland,687,107.3,61,1,107.3,63,1,0
South Africa,242,108.0,59,0,105.3,41,2,1
West Indies,652,103.3,43,0,102.6,42,1,1
Pakistan,195,108.3,67,0,105.8,68,1,0
Zimbabwe,128,102.6,41,2,104.3,44,2,0
Sri Lanka,573,108.3,29,5,102.6,35,1,0
Bangladesh,719,102.6,35,0,103.3,36,2,0
Pakistan,107,106.3,50,2,105.3,24,2,1
Zimbabwe,135,102.6,46,0,114.8,56,0,0
South Africa,156,115.7,65,1,107.0,55,1,1
England,458,107.0,41,2,105.3,77,0,0
Australia,344,114.1,47,1,102.6,51,0,0
England,371,110.1,36,3,102.6,40,3,0
West Indies,346,114.0,33,1,108.0,61,2,0
Ireland,31,102.6,45,3,108.1,60,1,0
Australia,158,106.0,59,1,105.3,60,1,0
England,69,103.3,55,1,106.3,55,0,1
West Indies,572,105.0,33,5,106.1,31,1,1
Ireland,184,102.6,61,2,102.6,57,0,1
New Zealand,320,104.3,49,1,118.5,44,2,1
India,238,119.6,54,2,104.3,56,1,0
West Indies,1,102.6,43,1,109.0,51,1,0
Sri Lanka,367,104.3,35,3,110.0,23,4,1
Afghanistan,680,107.3,33,2,105.3,49,1,0
India,140,102.6,48,1,103.3,54,0,0
Afghanistan,600,102.6,49,1,105.3,54,4,0
West Indies,37,107.3,46,2,112.5,42,2,1
India,19,108.3,52,1,102.6,41,2,1
Bangladesh,442,110.7,61,2,106.3,64,0,0
Zimbabwe,581,105.3,50,1,110.1,43,0,1
New Zealand,585,104.3,27,3,104.3,46,2,0
New Zealand,258,102.6,90,1,102.6,53,6,1
New Zealand,288,114.1,48,1,107.0,44,4,1
Zimbabwe,601,107.3,34,3,112.0,49,2,0
Pakistan,393,103.3,60,2,113.4,43,1,1
West Indies,171,116.5,61,0,108.0,42,1,1
South Africa,21,105.0,38,1,124.3,61,3,0
India,554,117.4,59,1,106.0,62,0,0
New Zealand,534,102.6,54,0,103.3,31,3,1
West Indies,229,108.3,31,2,112.4,38,3,0
West Indies,80,107.7,35,2,107.7,83,0,0
Sri Lanka,147,106.1,44,3,102.6,35,1,1
Bangladesh,537,118.5,68,0,111.0,47,5,1
South Africa,247,104.3,38,3,114.1,38,2,1
New Zealand,424,102.6,42,2,103.3,54,1,0
Afghanistan,92,107.0,39,2,105.3,64,2,0
Australia,315,106.3,55,1,106.0,49,2,1
Pakistan,260,102.6,45,1,102.6,47,1,0
Australia,409,104.1,73,1,109.0,53,3,1
England,318,102.6,70,0,112.7,59,2,1
India,443,103.3,45,0,102.6,36,1,1
New Zealand,59,105.3,43,0,102.6,32,3,1
West Indies,54,108.3,36,1,102.6,40,2,0
India,591,102.6,36,1,103.3,37,1,0
Australia,758,107.0,40,2,113.4,48,2,0
England,657,111.6,50,2,111.0,51,2,0
New Zealand,115,102.6,33,2,102.6,48,1,0
Australia,416,110.0,48,2,106.8,62,1,0
Pakistan,579,102.6,33,1,110.0,35,1,0
Pakistan,160,102.6,39,1,102.6,20,3,1
Netherlands,729,102.6,38,4,120.0,37,1,1
England,544,102.6,46,2,104.3,53,1,0
Sri Lanka,592,102.6,58,1,107.3,52,0,1
India,270,102.6,49,1,102.6,41,2,1
Bangladesh,52,102.6,43,4,104.1,46,2,0
Sri Lanka,41,104.3,47,2,102.6,34,1,1
Australia,291,108.3,21,3,117.5,66,0,0
Pakistan,194,102.6,31,2,102.6,50,1,0
South Africa,414,103.3,43,3,104.3,59,1,0
Australia,368,114.1,50,0,102.6,26,2,1
West Indies,518,119.5,60,2,102.6,34,1,1
New Zealand,334,107.3,50,1,102.6,60,1,0
Afghanistan,339,102.6,34,2,108.0,51,1,0
India,541,103.3,42,1,102.6,45,1,0
Afghanistan,562,110.7,36,3,102.6,36,0,1
Pakistan,179,102.6,49,1,106.3,42,2,1
Zimbabwe,164,107.3,46,2,113.2,53,2,0
Afghanistan,623,102.6,16,2,108.3,33,0,0
India,148,110.7,36,2,102.6,32,1,1
South Africa,483,105.3,65,0,102.6,64,0,1
New Zealand,275,108.0,49,0,108.3,37,3,1
Bangladesh,127,102.6,27,3,108.0,50,1,0
Australia,251,107.8,24,3,107.3,41,1,0
Afghanistan,449,105.3,48,2,105.3,38,1,1
Australia,129,106.3,32,2,102.6,38,1,0
Australia,595,105.0,43,1,5.9,4,2,1
Australia,432,107.3,74,1,103.3,53,2,1
Sri Lanka,380,107.3,26,4,103.3,54,0,0
Sri Lanka,679,104.3,48,2,107.3,34,3,1
New Zealand,661,104.3,41,2,104.1,69,1,0
India,78,102.6,29,3,108.1,40,1,0
Ireland,162,102.6,37,2,118.4,43,4,0
Sri Lanka,284,111.7,36,2,102.6,28,2,1
South Africa,189,107.3,62,2,119.0,63,2,0
Afghanistan,170,105.0,42,0,103.3,28,2,1
South Africa,638,102.6,37,1,110.0,39,0,0
Sri Lanka,714,110.0,50,1,112.0,36,2,1
South Africa,222,109.8,51,0,117.8,52,1,0
New Zealand,244,111.0,39,2,114.1,40,2,0
India,705,113.7,78,2,104.3,41,2,1
Sri Lanka,408,108.0,59,1,72.2,29,1,1
Pakistan,228,113.0,52,1,107.8,53,5,0
India,510,102.6,32,3,103.3,28,1,1
Afghanistan,696,107.8,43,0,103.3,35,3,1
West Indies,493,108.3,54,2,10.2,15,0,1
Australia,214,105.3,58,1,108.7,54,4,1
Pakistan,379,113.0,50,1,102.6,37,1,1
Bangladesh,418,120.8,51,1,109.0,65,1,0
Pakistan,357,106.1,51,1,110.1,16,3,1
South Africa,300,110.0,65,3,108.3,38,4,1
Netherlands,236,107.3,70,1,104.1,53,2,1
Pakistan,553,108.0,38,1,102.6,37,1,1
England,460,102.6,39,2,107.3,45,1,0
Zimbabwe,425,109.0,30,1,105.3,78,0,0
Sri Lanka,79,102.6,34,4,104.3,39,0,0
Afghanistan,210,102.6,34,0,102.6,51,2,0
England,233,108.0,60,1,112.4,60,2,1
New Zealand,22,111.0,34,3,103.3,44,0,0
West Indies,253,107.0,53,2,110.7,62,1,0
West Indies,285,103.3,72,0,102.6,64,2,1
Sri Lanka,252,107.3,34,0,108.8,31,1,1
South Africa,602,102.6,45,2,103.3,45,4,1
Zimbabwe,358,108.0,52,1,107.3,50,2,1
India,74,108.8,47,1,105.3,48,2,0
South Africa,337,112.1,52,2,104.3,31,3,1
Pakistan,741,107.0,37,1,102.6,41,1,0
England,552,102.6,33,3,108.3,37,3,0
India,497,108.3,50,1,102.6,40,2,1
India,760,117.2,53,1,108.3,55,1,0
Zimbabwe,674,108.3,23,3,108.0,47,2,0
Zimbabwe,639,105.3,48,2,102.6,42,2,1
Australia,671,106.1,33,4,106.1,45,3,0
West Indies,756,106.3,30,4,102.6,39,1,0
India,413,104.1,42,1,111.0,41,0,1
South Africa,526,103.3,68,1,102.6,51,0,1
West Indies,521,109.0,23,1,105.0,45,2,0
Australia,455,111.0,41,3,102.6,61,1,0
Pakistan,106,102.6,35,3,115.8,38,0,0
Pakistan,11,112.0,50,1,106.3,45,0,1
South Africa,2,108.7,31,2,108.8,29,1,1
India,480,102.6,35,2,106.3,44,1,0
India,336,108.7,52,0,105.0,25,2,1
Bangladesh,724,110.0,33,2,106.3,51,0,0
Pakistan,731,102.6,43,1,102.6,48,1,0
New Zealand,555,109.0,39,2,102.6,37,1,1
Zimbabwe,136,102.6,25,1,102.6,26,1,0
Bangladesh,81,102.6,43,4,111.0,53,3,0
New Zealand,634,103.3,48,1,102.6,40,2,1
Bangladesh,759,102.6,41,3,108.3,44,1,0
Zimbabwe,640,104.3,53,2,109.7,77,1,0
West Indies,230,111.0,25,2,102.6,26,3,0
Bangladesh,39,105.0,34,4,108.3,43,2,0
Afghanistan,66,109.7,32,2,109.0,32,2,1
Pakistan,297,117.4,40,0,104.1,53,2,0
Afghanistan,323,112.0,64,2,113.8,66,1,0
South Africa,561,103.3,59,1,118.8,66,5,0
Australia,706,108.0,57,0,107.3,29,3,1
South Africa,384,102.6,49,2,116.4,23,6,1
Zimbabwe,470,102.6,45,3,102.6,45,1,1
West Indies,332,102.6,37,2,104.3,53,3,0
Sri Lanka,725,102.6,52,2,111.8,40,2,1
England,615,109.0,66,2,110.0,51,1,1
Bangladesh,610,108.3,33,1,102.6,39,1,0
Pakistan,246,116.7,42,1,102.6,35,2,1
England,547,102.6,48,3,102.6,50,1,0
Sri Lanka,664,102.6,38,1,106.3,59,3,0
Australia,205,110.1,57,1,119.1,74,1,0
England,715,102.6,73,0,102.6,70,2,1
Pakistan,532,102.6,20,3,102.6,34,1,0
West Indies,646,102.6,52,1,112.0,38,2,1
Sri Lanka,546,102.6,36,1,109.0,31,5,1
Sri Lanka,46,112.1,43,0,110.0,77,1,0
India,278,108.8,52,1,103.3,39,3,1
South Africa,348,106.3,23,3,115.5,29,2,0
Afghanistan,571,102.6,33,2,106.3,34,2,0
Zimbabwe,397,102.6,38,2,102.6,31,1,1
New Zealand,517,106.0,48,0,102.6,40,2,1
Pakistan,75,102.6,49,2,107.0,55,2,0
England,325,108.3,35,1,102.6,61,0,0
West Indies,524,102.6,50,3,104.3,53,1,0
Afghanistan,699,108.0,71,0,104.3,44,2,1
New Zealand,564,102.6,18,4,108.3,22,2,0
South Africa,507,102.6,39,2,102.6,47,0,0
Pakistan,633,108.3,18,3,102.6,39,1,0
England,362,118.8,63,2,108.0,41,3,1
India,76,102.6,59,0,110.1,61,1,0
Sri Lanka,737,109.0,36,3,107.3,23,3,1
Afghanistan,593,107.3,58,1,102.6,42,3,1
New Zealand,608,105.8,31,4,102.6,50,0,0
Sri Lanka,18,114.1,65,0,106.3,56,2,1
Zimbabwe,613,108.0,48,1,107.0,41,4,1
England,520,114.5,50,2,105.3,31,7,1
England,660,107.3,51,1,112.4,52,2,0
England,364,105.8,56,2,102.6,67,0,0
Netherlands,152,103.3,55,3,102.6,52,1,1
India,456,107.3,41,2,102.6,33,2,1
Australia,355,104.3,41,0,105.3,31,3,1
England,513,110.0,53,0,106.3,73,0,0
South Africa,50,106.3,47,0,115.8,35,2,1
Australia,713,107.8,28,2,103.3,30,3,0
South Africa,264,108.3,53,1,110.8,57,1,0
Zimbabwe,563,105.0,21,2,120.2,40,1,0
India,84,103.3,57,1,108.3,59,2,0
South Africa,659,102.6,50,2,107.0,41,1,1
New Zealand,407,105.3,36,2,102.6,47,1,0
Bangladesh,374,105.3,27,3,111.0,39,1,0
Afghanistan,376,108.3,55,0,102.6,43,1,1
Pakistan,363,102.6,42,1,111.0,27,2,1
Zimbabwe,694,107.0,35,4,103.3,37,0,0
Zimbabwe,710,107.0,34,2,102.6,38,4,0
New Zealand,709,114.5,47,2,102.6,55,1,0
Zimbabwe,559,102.6,42,2,104.3,52,1,0
West Indies,294,102.6,34,1,108.3,40,2,0
England,282,108.3,47,1,112.5,51,2,0
Australia,712,102.6,70,1,105.3,38,3,1
Sri Lanka,618,112.5,40,3,110.8,51,1,0
Sri Lanka,556,109.0,66,0,125.5,65,1,1
Sri Lanka,505,105.0,36,2,108.3,58,1,0
New Zealand,500,117.2,53,0,102.6,57,2,0
Sri Lanka,732,102.6,37,2,103.3,82,0,0
Afghanistan,110,113.0,41,4,102.6,38,4,1
West Indies,4,104.3,47,1,109.0,47,2,1
Pakistan,212,111.0,48,1,111.8,34,1,1
Bangladesh,629,113.7,61,1,109.0,70,3,0
South Africa,454,103.3,59,0,107.3,54,1,1
India,668,106.3,31,2,102.6,31,2,1
Sri Lanka,316,112.0,47,1,114.5,41,2,1
Australia,299,108.0,73,1,106.3,56,3,1
England,495,102.6,33,2,114.5,54,1,0
South Africa,280,109.0,44,2,123.2,56,1,0
Pakistan,172,108.1,32,3,113.7,21,3,1
England,748,111.0,55,1,80.8,52,1,1
Bangladesh,301,108.3,54,4,106.3,91,1,0
South Africa,239,102.6,41,2,105.3,38,3,1
Pakistan,3,106.3,47,0,105.3,52,1,0
Bangladesh,181,106.3,35,2,112.8,52,3,0
India,10,112.7,54,1,108.3,43,0,1
Bangladesh,91,113.4,58,3,106.1,57,0,1
New Zealand,213,107.3,52,2,104.3,46,1,1
Pakistan,366,105.3,49,1,107.3,49,1,1
Afghanistan,231,107.3,42,2,104.3,25,3,1
India,271,102.6,72,0,106.3,41,3,1
Bangladesh,163,103.3,33,2,110.0,36,1,0
Australia,388,102.6,53,0,106.3,24,4,1
England,429,104.3,40,3,105.3,32,3,1
India,169,103.3,63,0,111.7,35,4,1
England,452,106.3,40,1,106.3,36,2,1
